name,addresses_road_name,addresses_start_street_number,addresses_neighborhood_name,addresses_district_name,values_value,geo_epgs_25831_x,geo_epgs_25831_y
Hotel H10 Port Vell - HB-004568,Pas Sota Muralla,9,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,933103065,431757.65441292385,4581440.781404022
Hotel H10 Metropolitan - HB-004625,Rbla Catalunya,7,la Dreta de l'Eixample,Eixample,932140720,430412.2173482431,4582144.606261208
Hotel Constanza - HB-004138,C Bruc,33,la Dreta de l'Eixample,Eixample,932701910,430858.36792562774,4582562.6272740085
Leonardo Boutique Hotel Barcelona Sagrada Familia- HB-004455,C Mallorca,606,el Camp de l'Arpa del Clot,Sant Martí,932314258,431939.7909810235,4584709.475554272
Hotel Four Points By Sheraton Barcelona Diagonal - HB-004103,Av Diagonal,161,el Poblenou,Sant Martí,934868800,432815.4126031599,4584074.052925449
Hotel Roger de Lluria - HB-004097,C Roger de Llúria,28,la Dreta de l'Eixample,Eixample,933436080,430758.1719112303,4582505.327812558
Hotel Grupotel Gran Via 678 - HB-004421,G.V. Corts Catalanes,678,la Dreta de l'Eixample,Eixample,931924560,430842.0930642802,4582657.622343864
Hotel Evenia Rocafort - HB-004197,C Rocafort,25,Sant Antoni,Eixample,932892400,429522.2712657843,4580869.954517114
Hotel Ciutadella Barcelona - HB-004539,Av Marquès de l'Argentera,4,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,933191944,431827.66568117996,4581692.781958716
Hotel Turó de Vilana - HB-004027,C Vilana,7,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,934340363,427184.1793079991,4584074.015760308
Hotel Center Gran Via - HB-004572,G.V. Corts Catalanes,573,l'Antiga Esquerra de l'Eixample,Eixample,934512898,429941.0059902254,4581848.410054255
Hotel Victoria Palace - HB-004635,C Roger de Llúria,42,la Dreta de l'Eixample,Eixample,932693939,430641.73901834065,4582624.323627702
Hotel H10 Art Gallery - HB-004616,C Enric Granados,62,l'Antiga Esquerra de l'Eixample,Eixample,932142030,429526.6738566845,4582618.632452664
Hotel America - HB-004153,C Provença,195,l'Antiga Esquerra de l'Eixample,Eixample,934876292,429549.410639473,4582600.65563279
Hotel Ilunion Barcelona - HB-004313,C Ramon Turró,196,el Poblenou,Sant Martí,932438800,433343.5926183819,4583335.290235304
Hotel NH Barcelona Eixample - HB-003860,C València,105,l'Antiga Esquerra de l'Eixample,Eixample,933236215,429287.09432425274,4581956.594862395
Hotel Praktik Vinoteca - HB-004628,C Balmes,51,l'Antiga Esquerra de l'Eixample,Eixample,934545028,429975.13756032917,4582319.760461886
Hotel AC Sants - HB-004335,Pg Sant Antoni,36,Sants,Sants-Montjuïc,934324512,427982.38320632896,4581025.683672416
Hotel Novotel Barcelona City - HB-004414,Av Diagonal,199,el Parc i la Llacuna del Poblenou,Sant Martí,933262499,432387.61678703653,4583934.7181990445
Hotel Primeroprimera - HB-004645,Carrer del Doctor Carulla,25,les Tres Torres,Sarrià-Sant Gervasi,93 417 56 00,427261.3946687206,4583561.240777877
Hotel Eurostars BCN Design - HB-004437,Pg Gràcia,29,la Dreta de l'Eixample,Eixample,933444555,430281.8605459202,4582479.682964896
Hotel Curious - HB-004354,C Carme,25,el Raval,Ciutat Vella,933014484,430642.73623314686,4581535.252255112
Hotel U232 - HB-002733,C Comte d'Urgell,232,l'Antiga Esquerra de l'Eixample,Eixample,933224153,428856.9864216622,4582351.878915074
Hotel Duquesa de Cardona - HB-004147,Pg Colom,12,el Barri Gòtic,Ciutat Vella,932689090,431483.1881197949,4581252.282188313
Hotel Mandarin Oriental Barcelona - HB-004403,Pg Gràcia,38,la Dreta de l'Eixample,Eixample,931518888,430330.618063453,4582521.116570688
Hotel Acevi Villarroel - HB-004189,C Villarroel,106,l'Antiga Esquerra de l'Eixample,Eixample,934520000,429498.8062821444,4581880.703647193
AC Hotel Barcelona Fòrum - HB-004223,Passeig del Taulat,272,Diagonal Mar i el Front Marítim del Poblenou,Sant Martí,934898200,434699.89938739996,4584589.7286359705
Hotel Barcelona Condal Mar by Meliá - HB-004378,C Cristóbal de Moura,138,Provençals del Poblenou,Sant Martí,933077727,433900.8009023741,4584871.4313640725
Hotel HCC Montblanc - HB-004088,Via Laietana,61,el Barri Gòtic,Ciutat Vella,933435555,430904.65256394923,4582133.285472665
Hotel Sunotel Central - HB-004348,G.V. Corts Catalanes,570,Sant Antoni,Eixample,934527374,429912.31229013106,4581747.747030666
Hotel chic&basic Born Boutique - HB-004452,C Princesa,50,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,932954652,431653.58930630225,4582023.560695588
Hotel Miramar - HB-004370,Pl Carlos Ibáñez,3,el Poble-sec,Sants-Montjuïc,932811600,430674.21519094484,4580254.997758891
Hotel  HG City Suites Barcelona - HB-003821,Via Augusta,89,Sant Gervasi - Galvany,Sarrià-Sant Gervasi,932373940,428950.7532452856,4583606.999690721
Hotel Ofelias - HB-004547,C Llança,24,la Nova Esquerra de l'Eixample,Eixample,934233898,428930.0060114416,4580934.07676718
Hotel Sir Victor - HB-004273,C Rosselló,265,la Dreta de l'Eixample,Eixample,932711244,429861.6445043444,4583083.1019910835
Sercotel Ámister Art Hotel - HB-004243,Av Roma,93,la Nova Esquerra de l'Eixample,Eixample,933633468,429055.2466166706,4581773.188603617
Abac restaurant & hotel - HB-004321,Av Tibidabo,1,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,933196600,427833.8748605277,4584708.562712084
Hotel Catalonia Magdalenes - HB-004727,C Magdalenes,13,el Barri Gòtic,Ciutat Vella,934813517,430989.24377918633,4581950.489273697
Hotel Room Mate Gerard - HB-004752,C Ausiàs Marc,34,la Dreta de l'Eixample,Eixample,931828031,431126.90831574454,4582562.234332645
Hotel Barcelona 1882 - HB-004770,C Còrsega,482,el Camp d'en Grassot i Gràcia Nova,Gràcia,933478486,430573.65940906806,4583937.595803489
Hotel Best Western Premier Hotel Dante - HB-002007,C Mallorca,181,l'Antiga Esquerra de l'Eixample,Eixample,933232254,429480.43736593606,4582332.88523101
Hotel Oriente Atiram - HB-000080,C Rambla,45,el Raval,Ciutat Vella,933022558,430950.5582989433,4581250.330098996
Hotel Majestic - HB-000038,Pg Gràcia,68,la Dreta de l'Eixample,Eixample,934881717,430095.911291374,4582777.358022269
Hotel Teatre Auditori - HB-004521,C Ribes,71,el Fort Pienc,Eixample,932456485,431793.05165700143,4583472.178590913
Hotel Sant Antoni - HB-004429,C Consell de Cent,476,el Fort Pienc,Eixample,932444415,431243.5319973846,4583467.114529033
Hotel Paseo de Gracia - HB-003252,Pg Gràcia,102,la Dreta de l'Eixample,Eixample,932150603,429864.1604908884,4583030.356506143
Hotel Sofitel Barcelona Skipper - HB-004318,Av Litoral,10,la Barceloneta,Ciutat Vella,932216565,432674.1344051657,4581927.1028416185
Hotel Seventy - HB-004892,C Còrsega,344,la Dreta de l'Eixample,Eixample,930 121 270,429904.7410439761,4583282.71805282
Hotel Villa Emilia by Katja & Antoine - HB-004329,C Calàbria,115,la Nova Esquerra de l'Eixample,Eixample,932525285,429269.9336251556,4581318.792083327
Gran Hotel Barcino - HB-003969,C Jaume I,6,el Barri Gòtic,Ciutat Vella,933022012,431252.4332888088,4581617.404577872
Hotel Exe Mitre - HB-003687,C Bertran,9,el Putxet i el Farró,Sarrià-Sant Gervasi,932121104,428167.6587531085,4584078.423927639
Hotel Upper Diagonal - HB-004716,Pg Manuel Girona,7,Sarrià,Sarrià-Sant Gervasi,932046573,426567.71664455975,4582479.221183149
Hotel ME Barcelona - HB-004955,Carrer de Casp,1,la Dreta de l'Eixample,Eixample,93 277 94 18,430607.19831482,4582272.002813459
Hotel Kimpton Vividora - HB-004063,C Duc,15,el Barri Gòtic,Ciutat Vella,936 425 400,430847.4631891089,4581796.310749303
Hotel Acta City 47 - HB-003934,C Nicaragua,47,Sants,Sants-Montjuïc,933637474,428156.63436979626,4581691.557210491
Hotel Catalonia Plaça Catalunya - HB-003846,C Bergara,11,la Dreta de l'Eixample,Eixample,933015151,430474.5447750643,4581986.541816433
Hotel Arc La Rambla - HB-003885,C Rambla,19,el Raval,Ciutat Vella,933019798,431062.96224370896,4581066.518916083
Hotel Room Mate Emma - HB-004428,C Rosselló,205,l'Antiga Esquerra de l'Eixample,Eixample,900818320,429474.35934801726,4582700.238645584
Monument Hotel - HB-003797,Pg Gràcia,75,la Dreta de l'Eixample,Eixample,935482000,429963.28356952505,4582829.1394896535
Hotel Ginebra - HB-002395,Rbla Catalunya,1,la Dreta de l'Eixample,Eixample,932502017,430443.56004996056,4582113.755568693
Aparthotel Allada - HB-004657,C Allada-Vermell,6,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,932683388,431501.134785341,4582037.932524492
Hotel Derby - HB-002794,C Loreto,21,les Corts,Les Corts,933223215,428266.13815732615,4582385.377463384
Hotel El Palace - HB-000064,G.V. Corts Catalanes,668,la Dreta de l'Eixample,Eixample,935101130,430742.42305296846,4582560.368272319
Aparthotel Augusta - HB-003712,C Lincoln,32,el Putxet i el Farró,Sarrià-Sant Gervasi,932183355,428808.95660501544,4583691.851833314
Hotel Regencia Colón - HB-000023,C Sagristans,13,el Barri Gòtic,Ciutat Vella,933189858,431076.4469488775,4581865.6291196
Hotel Bestprice Gracia - HB-004719,C Martí,122,el Camp d'en Grassot i Gràcia Nova,Gràcia,934614260,429865.5421535397,4584584.779346382
Hotel Marina Folch - HB-002644,C Mar,16,la Barceloneta,Ciutat Vella,933103709,432061.1524802201,4581351.450337031
Arenas Atiram Hotel - HB-003272,C Capità Arenas,20,Pedralbes,Les Corts,932800303,426951.69891453185,4582470.247353886
Hotel Alguer Camp Nou - HB-003643,Ptge Pere Rodríguez,20,la Maternitat i Sant Ramon,Les Corts,936817344,426237.30818189064,4580992.0626242915
Hotel H10 Casa Mimosa - HB-004739,C Pau Claris,179,la Dreta de l'Eixample,Eixample,932142330,429966.0674875382,4583093.085915331
Hotel Arts Barcelona - HB-003984,C Marina,19,la Barceloneta,Ciutat Vella,932211000,432827.2078939822,4582043.060740502
Hotel Santa Marta - HB-000495,C General Castaños,14,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,933194427,431869.3942798935,4581671.1221785145
HCC Hotel Regente - HB-002057,Rbla Catalunya,76,la Dreta de l'Eixample,Eixample,934875989,429958.1546589917,4582638.782345727
Hotel Intercontinental Barcelona - HB-003940,Avinguda de Rius i Taulet,1,el Poble-sec,Sants-Montjuïc,93 426 22 23,429299.0855180074,4580480.018277144
